Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
Middle East,Israel,ISR,2004,80.1,8.97,36.7,55.32
Africa,South Africa,ZAF,2012,60.1,1.03,7.15,10.92
Rest of Europe,Bosnia and Herzegovina,BIH,2014,76.7,2.31,20.83,59.9
European Union,Luxembourg,LUX,2015,82.3,8.89,29.08,122.74
European Union,Denmark,DNK,2010,79.1,8.19,37.26,101.16
Rest of Europe,Belarus,BLR,2015,73.6,5.89,42.55,109.47
Middle East,Syrian Arab Republic,SYR,2015,69.9,10.67,14.64,23.68
Asia,Mongolia,MNG,2002,63.8,1.26,27.29,35.3
Asia,Singapore,SGP,2011,81.7,2.85,17.5,52.02
Rest of Europe,Norway,NOR,2003,79.4,8.13,32.3,146.75
European Union,Poland,POL,2003,74.6,2.9,24.34,52.99
Asia,Japan,JPN,2004,82,7.25,20.29,89.61
Asia,Sri Lanka,LKA,2007,75,0.64,5.38,19.85
European Union,Denmark,DNK,2008,78.4,8.22,35.79,98.24
European Union,Belgium,BEL,2005,79,7.34,28.71,94.66
Rest of Europe,Russian Federation,RUS,2012,70.1,2.93,40.03,94.2
European Union,Ireland,IRL,2005,78.9,5.6,35.31,122.25
Middle East,Iraq,IRQ,2014,69.7,2.16,8.23,18.11
European Union,Croatia,HRV,2006,75.8,7.48,26.07,54.12
Central America and Caribbean,Jamaica,JAM,2012,74,0.13,3.63,15.5
Oceania,Papua New Guinea,PNG,2009,61.7,0.16,NA,NA
Asia,Uzbekistan,UZB,2014,70.7,1.61,23.9,113.56
Asia,Kyrgyz Republic,KGZ,2009,69.1,1.92,18.8,47.2
Rest of Europe,Belarus,BLR,2010,70.4,5.36,35.11,105.36
Asia,Kazakhstan,KAZ,2006,66.2,3.49,35.72,70.23
Asia,Kazakhstan,KAZ,2011,68.7,3.83,38.15,76.53
European Union,Hungary,HUN,2001,72.2,3.58,28.97,57.32
European Union,Bulgaria,BGR,2005,72.6,8.47,36.61,45.08
Asia,Uzbekistan,UZB,2002,67.6,2.11,28.49,108.53
European Union,Finland,FIN,2009,79.7,7.34,23.98,105.42
European Union,Estonia,EST,2012,76.3,9.04,32.84,64.61
European Union,Bulgaria,BGR,2015,74.6,10.03,40.41,48.31
North America,Mexico,MEX,2010,75.1,1.16,20.07,24.22
Asia,Singapore,SGP,2007,80.4,2.66,15.04,40.04
North America,Canada,CAN,2000,79.1,5.6,NA,99
Oceania,New Zealand,NZL,2002,78.8,3.93,21.24,93.89
European Union,Belgium,BEL,2008,79.7,7.16,29.21,98.18
Rest of Europe,North Macedonia,MKD,2005,73.7,6.58,21.02,33.55
Asia,Bangladesh,BGD,2007,68.6,0.14,3.17,1.57
European Union,Spain,ESP,2005,80.2,5.04,35.21,44.85
European Union,Italy,ITA,2010,82,5.66,37.63,54.39
Africa,Guinea,GIN,2004,52.5,0.02,1.09,4.86
Africa,Eswatini,SWZ,2011,48.1,0.41,0.98,NA
South America,Ecuador,ECU,2011,75.3,2.22,13.82,18.82
Africa,Benin,BEN,2004,56.9,0.01,0.38,7.1
Rest of Europe,Switzerland,CHE,2013,82.8,5.2,40.39,162.14
Asia,Myanmar,MMR,2004,61.3,0.28,3.78,NA
European Union,Bulgaria,BGR,2014,74.5,9.96,39.78,48.7
European Union,Denmark,DNK,2014,80.7,7.7,38.77,102.6
Rest of Europe,Russian Federation,RUS,2014,70.7,2.84,41.2,92.68
European Union,Malta,MLT,2003,78.5,4.09,30.72,53.75
Asia,Thailand,THA,2015,76.1,0.99,4.53,23.07
European Union,Poland,POL,2005,75,3.21,21.4,56.45
Africa,Guinea,GIN,2005,53.2,0.02,1.02,NA
European Union,Slovak Republic,SVK,2015,76.6,4.88,34.54,60.26
